,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
55,0.0005,32,12,1,128,336,24,0.02410137467086315,0.11304411292076111,13,14,1.24,182.86
56,0.0005,32,12,1,256,96,24,0.027488376945257187,0.11265524476766586,12,11,4.78,243.27
57,0.0005,32,12,1,256,336,24,0.02334791049361229,0.11157208681106567,9,10,4.84,244.71
58,0.0005,32,12,1,512,96,24,0.04112215340137482,0.13828743994235992,4,3,19.0,451.31
59,0.0005,32,12,1,512,336,24,0.0398213230073452,0.14251279830932617,4,4,19.12,454.56
60,0.001,32,3,1,32,96,24,0.03636312857270241,0.1301255077123642,13,4,0.02,146.61
61,0.001,32,3,1,32,336,24,0.03041006624698639,0.1228523924946785,14,7,0.03,147.43
62,0.001,32,3,1,64,96,24,0.030703211203217506,0.12001165002584457,18,6,0.08,149.0
63,0.001,32,3,1,64,336,24,0.02543386071920395,0.11303626745939255,16,8,0.1,149.9
64,0.001,32,3,1,128,96,24,0.0282545518130064,0.11379771679639816,18,6,0.31,154.38
65,0.001,32,3,1,128,336,24,0.02358592115342617,0.10921009629964828,14,7,0.35,155.46
66,0.001,32,3,1,256,96,24,0.027570638805627823,0.1113610714673996,12,4,1.22,170.25
67,0.001,32,3,1,256,336,24,0.02334277518093586,0.10717041045427322,14,7,1.28,171.68
68,0.001,32,3,1,512,96,24,0.04070119559764862,0.13807347416877747,4,1,4.8,222.24
69,0.001,32,3,1,512,336,24,0.038827694952487946,0.14004400372505188,4,2,4.92,224.38
70,0.001,32,6,1,32,96,24,0.03424970433115959,0.12776881456375122,12,6,0.04,148.47
71,0.001,32,6,1,32,336,24,0.029658861458301544,0.12219882011413574,15,10,0.05,149.29
72,0.001,32,6,1,64,96,24,0.02940208464860916,0.11872005462646484,10,5,0.16,153.08
73,0.001,32,6,1,64,336,24,0.02555629424750805,0.11400648951530457,12,8,0.17,153.99
74,0.001,32,6,1,128,96,24,0.02808496169745922,0.11309286206960678,13,7,0.61,163.51
75,0.001,32,6,1,128,336,24,0.023787440732121468,0.11102283746004105,14,9,0.64,164.59
76,0.001,32,6,1,256,96,24,0.027647098526358604,0.11240978538990021,10,5,2.41,194.59
77,0.001,32,6,1,256,336,24,0.024287700653076172,0.11040101945400238,12,8,2.47,196.02
78,0.001,32,6,1,512,96,24,0.03751875087618828,0.1314203143119812,4,2,9.53,297.25
79,0.001,32,6,1,512,336,24,0.033290497958660126,0.12687784433364868,4,2,9.65,299.38
80,0.001,32,12,1,32,96,24,0.03394171968102455,0.1279093474149704,19,17,0.08,152.2
81,0.001,32,12,1,32,336,24,0.028646215796470642,0.12190018594264984,14,17,0.09,153.02
82,0.001,32,12,1,64,96,24,0.02928026393055916,0.12025656551122665,15,14,0.31,161.25
83,0.001,32,12,1,64,336,24,0.02564082108438015,0.1159745380282402,10,10,0.33,162.16
84,0.001,32,12,1,128,96,24,0.02815208211541176,0.11525941640138626,9,8,1.21,181.78
85,0.001,32,12,1,128,336,24,0.024724707007408142,0.11218415200710297,13,14,1.24,182.86
86,0.001,32,12,1,256,96,24,0.04125681146979332,0.13949917256832123,4,3,4.78,243.27
87,0.001,32,12,1,256,336,24,0.036738041788339615,0.13414260745048523,4,4,4.84,244.71
88,0.001,32,12,1,512,96,24,0.041237540543079376,0.14001893997192383,4,3,19.0,451.31
89,0.001,32,12,1,512,336,24,0.03495970740914345,0.13402266800403595,4,4,19.12,454.56
90,0.005,32,3,1,32,96,24,0.030023248866200447,0.11960336565971375,13,4,0.02,146.61
91,0.005,32,3,1,32,336,24,0.02803066559135914,0.1185038611292839,14,7,0.03,147.43
92,0.005,32,3,1,64,96,24,0.04781253635883331,0.15223100781440735,4,1,0.08,149.0
93,0.005,32,3,1,64,336,24,0.04201820492744446,0.14432427287101746,4,2,0.1,149.9
94,0.005,32,3,1,128,96,24,0.044160790741443634,0.1466430425643921,4,1,0.31,154.38
95,0.005,32,3,1,128,336,24,0.039522435516119,0.1404992789030075,4,2,0.35,155.46
96,0.005,32,3,1,256,96,24,0.039088763296604156,0.13386745750904083,4,1,1.22,170.25
97,0.005,32,3,1,256,336,24,0.03451228514313698,0.12959541380405426,4,2,1.28,171.68
98,0.005,32,3,1,512,96,24,0.038106415420770645,0.13412503898143768,4,1,4.8,222.24
99,0.005,32,3,1,512,336,24,0.03358403965830803,0.13011285662651062,4,2,4.92,224.38
100,0.005,32,6,1,32,96,24,0.030169671401381493,0.12010479718446732,13,7,0.04,148.47
101,0.005,32,6,1,32,336,24,0.02735544741153717,0.11958201974630356,15,10,0.05,149.29
102,0.005,32,6,1,64,96,24,0.04782949760556221,0.15134599804878235,4,2,0.16,153.08
103,0.005,32,6,1,64,336,24,0.04340654984116554,0.14895494282245636,4,2,0.17,153.99
104,0.005,32,6,1,128,96,24,0.046983249485492706,0.15517397224903107,4,2,0.61,163.51
105,0.005,32,6,1,128,336,24,0.0373210571706295,0.13815179467201233,4,2,0.64,164.59
106,0.005,32,6,1,256,96,24,0.040626347064971924,0.13887913525104523,4,2,2.41,194.59
107,0.005,32,6,1,256,336,24,0.03740767017006874,0.13728460669517517,4,2,2.47,196.02
108,0.005,32,6,1,512,96,24,0.03930610418319702,0.13970990478992462,4,2,9.53,297.25
109,0.005,32,6,1,512,336,24,0.03384258225560188,0.13295121490955353,4,2,9.65,299.38
110,0.005,32,12,1,32,96,24,0.02878458984196186,0.11924611032009125,15,14,0.08,152.2
111,0.005,32,12,1,32,336,24,0.027925128117203712,0.12238416820764542,10,11,0.09,153.02
112,0.005,32,12,1,64,96,24,0.045163776725530624,0.14657922089099884,4,3,0.31,161.25
113,0.005,32,12,1,64,336,24,0.04635205119848251,0.15404416620731354,4,4,0.33,162.16
114,0.005,32,12,1,128,96,24,0.042980682104825974,0.1430710405111313,4,3,1.21,181.78
115,0.005,32,12,1,128,336,24,0.03754741698503494,0.13959769904613495,4,4,1.24,182.86
116,0.005,32,12,1,256,96,24,0.040036145597696304,0.1406925767660141,4,3,4.78,243.27
117,0.005,32,12,1,256,336,24,0.03869437798857689,0.14200690388679504,4,4,4.84,244.71
118,0.005,32,12,1,512,96,24,0.04536058008670807,0.15064677596092224,4,4,19.0,451.31
119,0.005,32,12,1,512,336,24,0.03526560962200165,0.13624313473701477,4,4,19.12,454.56
