,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,64,2,1,32,96,0.10119741410017014,0.23953509330749512,13,5,0.0,716.65
1,0.0001,64,2,1,32,336,0.09813282638788223,0.23629164695739746,14,9,0.0,1895.16
2,0.0001,64,2,1,64,96,0.0868118405342102,0.2178826630115509,16,8,0.2,1352.37
3,0.0001,64,2,1,64,336,0.08339997380971909,0.21253877878189087,16,15,0.2,3753.17
4,0.0001,64,2,1,128,96,0.07479582726955414,0.20220834016799927,9,4,0.7,1510.56
5,0.0001,64,2,1,128,336,0.07628673315048218,0.20450077950954437,9,9,0.7,4041.89
6,0.0001,64,2,1,256,96,0.06747202575206757,0.1933341771364212,13,8,2.6,1988.81
7,0.0001,64,2,1,256,336,0.07744857668876648,0.20431724190711975,7,9,2.6,4761.11
8,0.0001,64,2,1,512,96,0.06941769272089005,0.19630226492881775,7,7,10.5,3109.02
9,0.0001,64,2,1,512,336,0.07075680047273636,0.1960158795118332,7,14,10.5,6749.44
10,0.0001,64,3,3,32,96,0.09524067491292953,0.23144720494747162,16,13,0.1,1714.95
11,0.0001,64,3,3,32,336,0.09502850472927094,0.23147094249725342,9,12,0.1,4268.13
12,0.0001,64,3,3,64,96,0.07333273440599442,0.20135363936424255,11,11,0.4,3330.97
13,0.0001,64,3,3,64,336,0.07261154800653458,0.19917577505111694,12,25,0.4,8462.23
14,0.0001,64,3,3,128,96,0.06878282874822617,0.192768394947052,7,8,1.4,3785.98
15,0.0001,64,3,3,128,336,0.0683760792016983,0.19115954637527466,10,23,1.4,9212.31
16,0.0001,64,3,3,256,96,0.06548066437244415,0.18705351650714874,5,7,5.5,4876.06
17,0.0001,64,3,3,256,336,0.06806778162717819,0.19405336678028107,9,27,5.5,10868.29
18,0.0001,64,3,3,512,96,0.06914842128753662,0.19777408242225647,5,12,22.1,7266.66
19,0.0001,64,3,3,512,336,0.07579945772886276,0.2014492005109787,6,28,22.1,14774.68
20,0.0001,64,6,6,32,96,0.08517773449420929,0.21674706041812897,14,20,0.2,3262.64
21,0.0001,64,6,6,32,336,0.08636865764856339,0.2199525088071823,13,33,0.2,8267.32
22,0.0001,64,6,6,64,96,0.06942261755466461,0.19463098049163818,15,29,0.7,6398.13
23,0.0001,64,6,6,64,336,0.0703539252281189,0.19611044228076935,10,41,0.7,16409.23
24,0.0001,64,6,6,128,96,0.06870578974485397,0.1932424008846283,7,15,2.8,7340.84
25,0.0001,64,6,6,128,336,0.06938263028860092,0.1945316046476364,12,54,2.8,17991.39
26,0.0001,64,6,6,256,96,0.06890550255775452,0.19593502581119537,5,15,11.1,9436.43
27,0.0001,64,6,6,256,336,0.07630741596221924,0.2067706435918808,5,29,11.1,21337.84
28,0.0001,64,6,6,512,96,0.06496585160493851,0.1898401826620102,6,30,44.2,13933.2
29,0.0001,64,6,6,512,336,0.06614134460687637,0.19082117080688477,7,65,44.2,28717.81
30,0.0005,64,2,1,32,96,0.08285588026046753,0.21390488743782043,9,4,0.0,716.65
31,0.0005,64,2,1,32,336,0.08383289724588394,0.21667055785655975,5,3,0.0,1895.16
32,0.0005,64,2,1,64,96,0.07457544654607773,0.20288090407848358,9,4,0.2,1352.37
33,0.0005,64,2,1,64,336,0.07804249972105026,0.2049677073955536,6,5,0.2,3753.17
34,0.0005,64,2,1,128,96,0.06817760318517685,0.1939784735441208,5,2,0.7,1510.56
35,0.0005,64,2,1,128,336,0.07896688580513,0.20460832118988037,5,5,0.7,4041.89
36,0.0005,64,2,1,256,96,0.07122063636779785,0.19759704172611237,5,3,2.6,1988.81
37,0.0005,64,2,1,256,336,0.06785517185926437,0.19228772819042206,6,8,2.6,4761.11
38,0.0005,64,2,1,512,96,0.07919705659151077,0.20775118470191956,5,5,10.5,3109.02
39,0.0005,64,2,1,512,336,0.07357338070869446,0.19976648688316345,6,12,10.5,6749.44
40,0.0005,64,3,3,32,96,0.07151981443166733,0.19871726632118225,10,8,0.1,1714.95
41,0.0005,64,3,3,32,336,0.07277202606201172,0.19809940457344055,7,9,0.1,4268.13
42,0.0005,64,3,3,64,96,0.06904023140668869,0.19459503889083862,5,5,0.4,3330.97
43,0.0005,64,3,3,64,336,0.06502537429332733,0.18854382634162903,6,12,0.4,8462.23
44,0.0005,64,3,3,128,96,0.07137098163366318,0.20277222990989685,6,7,1.4,3785.98
45,0.0005,64,3,3,128,336,0.06835836917161942,0.19000592827796936,5,11,1.4,9212.31
46,0.0005,64,3,3,256,96,0.06673729419708252,0.1924203336238861,5,7,5.5,4876.06
47,0.0005,64,3,3,256,336,0.07085288316011429,0.19616015255451202,6,18,5.5,10868.29
48,0.0005,64,3,3,512,96,0.07526380568742752,0.20170937478542328,6,15,22.1,7264.66
49,0.0005,64,3,3,512,336,0.08276986330747604,0.21278831362724304,4,19,22.1,14774.68
50,0.0005,64,6,6,32,96,0.07482506334781647,0.20293955504894257,5,7,0.2,3262.64
51,0.0005,64,6,6,32,336,0.0758780762553215,0.20645755529403687,7,17,0.2,8267.32
52,0.0005,64,6,6,64,96,0.07043244689702988,0.19828833639621735,5,9,0.7,6398.13
53,0.0005,64,6,6,64,336,0.07071441411972046,0.1996193379163742,6,24,0.7,16409.23
54,0.0005,64,6,6,128,96,0.07841818034648895,0.2112654745578766,5,10,2.8,7340.84
55,0.0005,64,6,6,128,336,0.06946463137865067,0.1943936049938202,5,22,2.8,17991.39
56,0.0005,64,6,6,256,96,0.06557434797286987,0.1905481517314911,5,15,11.1,9436.43
57,0.0005,64,6,6,256,336,0.05686980113387108,0.17920345067977905,7,41,11.1,21337.84
58,0.0005,64,6,6,512,96,0.08120546489953995,0.209914430975914,4,19,44.2,13933.2
59,0.0005,64,6,6,512,336,0.08542662113904953,0.21345995366573334,4,37,44.2,28717.81
60,0.001,64,2,1,32,96,0.08351793885231018,0.2174968719482422,6,2,0.0,716.65
61,0.001,64,2,1,32,336,0.08038552105426788,0.2118009477853775,5,3,0.0,1895.16
62,0.001,64,2,1,64,96,0.07808244228363037,0.21131174266338348,6,3,0.2,1352.37
63,0.001,64,2,1,64,336,0.07786773890256882,0.20199598371982574,5,4,0.2,3753.17
64,0.001,64,2,1,128,96,0.08841150999069214,0.22873415052890778,5,2,0.7,1510.56
65,0.001,64,2,1,128,336,0.07556763291358948,0.20077133178710938,5,5,0.7,4041.89
66,0.001,64,2,1,256,96,0.06972476840019226,0.19389007985591888,5,3,2.6,1988.81
67,0.001,64,2,1,256,336,0.07086096704006195,0.19486841559410095,6,8,2.6,4761.11
68,0.001,64,2,1,512,96,0.08233404904603958,0.21256299316883087,4,4,10.5,3109.02
69,0.001,64,2,1,512,336,0.07763782143592834,0.20450715720653534,7,14,10.5,6749.44
70,0.001,64,3,3,32,96,0.07545580714941025,0.20603160560131073,5,4,0.1,1714.95
71,0.001,64,3,3,32,336,0.06681425869464874,0.1929650753736496,7,9,0.1,4268.13
72,0.001,64,3,3,64,96,0.0761050134897232,0.20842839777469635,5,5,0.4,3330.97
73,0.001,64,3,3,64,336,0.06369731575250626,0.18717563152313232,6,12,0.4,8462.23
74,0.001,64,3,3,128,96,0.06394887715578079,0.18544989824295044,5,5,1.4,3785.98
75,0.001,64,3,3,128,336,0.07023101300001144,0.19799093902111053,5,11,1.4,9212.31
76,0.001,64,3,3,256,96,0.08299175649881363,0.21387548744678497,4,6,5.5,4876.06
77,0.001,64,3,3,256,336,0.0725049152970314,0.19770269095897675,7,21,5.5,10868.29
78,0.001,64,3,3,512,96,0.07963404059410095,0.20692123472690582,4,10,22.1,7264.66
79,0.001,64,3,3,512,336,0.07792278379201889,0.20661671459674835,4,19,22.1,14774.68
80,0.001,64,6,6,32,96,0.0857444629073143,0.22015823423862457,5,7,0.2,3262.64
81,0.001,64,6,6,32,336,0.08363703638315201,0.2133585810661316,5,12,0.2,8267.32
82,0.001,64,6,6,64,96,0.07323718816041946,0.20217762887477875,5,9,0.7,6398.13
83,0.001,64,6,6,64,336,0.07007689028978348,0.1983584463596344,5,20,0.7,16409.23
84,0.001,64,6,6,128,96,0.06567617505788803,0.19021344184875488,5,10,2.8,7340.84
85,0.001,64,6,6,128,336,0.06334428489208221,0.18606790900230408,5,22,2.8,17991.39
86,0.001,64,6,6,256,96,0.07527034729719162,0.2028876543045044,4,12,11.1,9436.43
87,0.001,64,6,6,256,336,0.07465488463640213,0.20172877609729767,4,23,11.1,21337.84
88,0.001,64,6,6,512,96,0.08138396590948105,0.21312442421913147,4,19,44.2,13933.2
89,0.001,64,6,6,512,336,0.08066274970769882,0.207854226231575,4,37,44.2,28717.81
90,0.005,64,2,1,32,96,0.10241395235061646,0.24072733521461487,4,1,0.0,716.65
91,0.005,64,2,1,32,336,0.09522546827793121,0.2294955551624298,5,3,0.0,1895.16
92,0.005,64,2,1,64,96,0.08786832541227341,0.21983638405799866,4,2,0.2,1352.37
93,0.005,64,2,1,64,336,0.07103785127401352,0.19365863502025604,6,5,0.2,3753.17
94,0.005,64,2,1,128,96,0.07802152633666992,0.20794248580932617,4,2,0.7,1510.56
95,0.005,64,2,1,128,336,0.07524929940700531,0.20306463539600372,4,4,0.7,4041.89
96,0.005,64,2,1,256,96,0.07417238503694534,0.20363642275333405,4,2,2.6,1988.81
97,0.005,64,2,1,256,336,0.07518836855888367,0.2016577273607254,4,5,2.6,4761.11
98,0.005,64,2,1,512,96,0.07285692542791367,0.19671045243740082,4,4,10.5,3109.02
99,0.005,64,2,1,512,336,0.0796116441488266,0.20566099882125854,4,8,10.5,6749.44
100,0.005,64,3,3,32,96,0.0869300588965416,0.2192818969488144,5,4,0.1,1714.95
101,0.005,64,3,3,32,336,0.06106194481253624,0.18349380791187286,5,6,0.1,4268.13
102,0.005,64,3,3,64,96,0.07583409547805786,0.20510683953762054,4,4,0.4,3330.97
103,0.005,64,3,3,64,336,0.07761842012405396,0.2069678008556366,4,8,0.4,8462.23
104,0.005,64,3,3,128,96,0.07132408767938614,0.1972370147705078,4,4,1.4,3785.98
105,0.005,64,3,3,128,336,0.0740380808711052,0.20181888341903687,4,9,1.4,9212.31
106,0.005,64,3,3,256,96,0.06746484339237213,0.19278912246227264,4,6,5.5,4876.06
107,0.005,64,3,3,256,336,0.07655370235443115,0.2059231996536255,4,12,5.5,10868.29
108,0.005,64,3,3,512,96,0.06911686807870865,0.19430607557296753,4,10,22.1,7266.66
109,0.005,64,3,3,512,336,0.07146160304546356,0.19607648253440857,4,19,22.1,14774.68
110,0.005,64,6,6,32,96,0.08536921441555023,0.21573524177074432,5,7,0.2,3262.64
111,0.005,64,6,6,32,336,0.06226681172847748,0.18574868142604828,5,12,0.2,8267.32
112,0.005,64,6,6,64,96,0.07343868166208267,0.19876183569431305,4,7,0.7,6398.13
113,0.005,64,6,6,64,336,0.07747119665145874,0.20332810282707214,4,16,0.7,16409.23
114,0.005,64,6,6,128,96,0.07005753368139267,0.19631151854991913,4,8,2.8,7340.84
115,0.005,64,6,6,128,336,0.0671248659491539,0.19064803421497345,4,18,2.8,17991.39
116,0.005,64,6,6,256,96,0.06572626531124115,0.1899508833885193,4,12,11.1,9436.43
117,0.005,64,6,6,256,336,0.06742142140865326,0.19101913273334503,4,23,11.1,21337.84
118,0.005,64,6,6,512,96,0.06739543378353119,0.19103842973709106,4,19,44.2,13933.2
119,0.005,64,6,6,512,336,0.07063668966293335,0.19446583092212677,4,37,44.2,28717.81
