,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
57,0.0005,32,6,6,256,336,0.024020934477448463,0.1125546246767044,8,27,11.1,5117.27
58,0.0005,32,6,6,512,96,0.0357668362557888,0.13953548669815063,4,7,44.2,2281.85
59,0.0005,32,6,6,512,336,0.0484519898891449,0.16891612112522125,4,21,44.2,7623.16
60,0.001,32,2,1,32,96,0.03361089900135994,0.13361650705337524,9,4,0.0,204.88
61,0.001,32,2,1,32,336,0.028432147577404976,0.12496092915534973,11,6,0.0,582.79
62,0.001,32,2,1,64,96,0.029232576489448547,0.12341856211423874,6,3,0.2,261.88
63,0.001,32,2,1,64,336,0.02641421929001808,0.11982522159814835,10,6,0.2,1017.93
64,0.001,32,2,1,128,96,0.02910047024488449,0.12364691495895386,8,4,0.7,311.76
65,0.001,32,2,1,128,336,0.02698497287929058,0.12146531790494919,7,4,0.7,1098.12
66,0.001,32,2,1,256,96,0.027657702565193176,0.12017549574375153,8,4,2.6,421.92
67,0.001,32,2,1,256,336,0.026302475482225418,0.12136859446763992,7,6,2.6,1392.48
68,0.001,32,2,1,512,96,0.03757837787270546,0.1434749811887741,4,2,10.5,695.12
69,0.001,32,2,1,512,336,0.033706046640872955,0.13679781556129456,4,5,10.5,2110.44
70,0.001,32,3,3,32,96,0.031112484633922577,0.12659214437007904,12,9,0.1,263.3
71,0.001,32,3,3,32,336,0.027233071625232697,0.12299539148807526,8,8,0.1,996.17
72,0.001,32,3,3,64,96,0.026673870161175728,0.11704673618078232,8,6,0.4,384.19
73,0.001,32,3,3,64,336,0.02333979681134224,0.11174318939447403,8,9,0.4,1843.87
74,0.001,32,3,3,128,96,0.028985124081373215,0.12112829834222794,8,6,1.4,483.24
75,0.001,32,3,3,128,336,0.023831887170672417,0.11300208419561386,8,10,1.4,2051.89
76,0.001,32,3,3,256,96,0.03521488979458809,0.1389707624912262,4,3,5.5,699.53
77,0.001,32,3,3,256,336,0.037570614367723465,0.1451561003923416,4,7,5.5,2618.26
78,0.001,32,3,3,512,96,0.03929625079035759,0.15227003395557404,4,4,22.1,1229.64
79,0.001,32,3,3,512,336,0.03223073109984398,0.13334599137306213,4,11,22.1,3925.68
80,0.001,32,6,6,32,96,0.032666824758052826,0.1289340853691101,8,11,0.2,378.23
81,0.001,32,6,6,32,336,0.026415588334202766,0.12044280767440796,10,16,0.2,1837.93
82,0.001,32,6,6,64,96,0.027840573340654373,0.12101432681083679,7,10,0.7,613.35
83,0.001,32,6,6,64,336,0.023114193230867386,0.11176504194736481,10,20,0.7,3527.53
84,0.001,32,6,6,128,96,0.025827556848526,0.11578156799077988,7,10,2.8,807.94
85,0.001,32,6,6,128,336,0.023320680484175682,0.1118989810347557,9,20,2.8,4000.52
86,0.001,32,6,6,256,96,0.034917473793029785,0.13743828237056732,4,5,11.1,1238.59
87,0.001,32,6,6,256,336,0.04062272980809212,0.1532246172428131,4,13,11.1,5117.27
88,0.001,32,6,6,512,96,0.031989432871341705,0.13092844188213348,4,7,44.2,2281.85
89,0.001,32,6,6,512,336,0.03619411215186119,0.1453668475151062,4,21,44.2,7623.16
90,0.005,32,2,1,32,96,0.029538065195083618,0.12675395607948303,10,5,0.0,204.88
91,0.005,32,2,1,32,336,0.028085773810744286,0.12450957298278809,7,4,0.0,582.79
92,0.005,32,2,1,64,96,0.028287826105952263,0.12392214685678482,6,3,0.2,261.88
93,0.005,32,2,1,64,336,0.02580999955534935,0.11947334557771683,8,5,0.2,1017.93
94,0.005,32,2,1,128,96,0.03629518300294876,0.14264757931232452,4,2,0.7,311.76
95,0.005,32,2,1,128,336,0.03651086241006851,0.14148513972759247,4,2,0.7,1098.12
96,0.005,32,2,1,256,96,0.03705199435353279,0.14260143041610718,4,2,2.6,421.92
97,0.005,32,2,1,256,336,0.033160824328660965,0.1365939974784851,4,3,2.6,1392.48
98,0.005,32,2,1,512,96,0.03373788669705391,0.1366637647151947,4,2,10.5,693.12
99,0.005,32,2,1,512,336,0.03225746378302574,0.13419277966022491,4,5,10.5,2110.44
100,0.005,32,3,3,32,96,0.029137924313545227,0.12391361594200134,9,7,0.1,263.3
101,0.005,32,3,3,32,336,0.026893699541687965,0.12060267478227615,9,9,0.1,996.17
102,0.005,32,3,3,64,96,0.027584169059991837,0.12152621895074844,6,5,0.4,384.19
103,0.005,32,3,3,64,336,0.026289885863661766,0.1183614581823349,8,9,0.4,1843.87
104,0.005,32,3,3,128,96,0.03144778683781624,0.13177528977394104,4,3,1.4,483.24
105,0.005,32,3,3,128,336,0.03140335530042648,0.1328049749135971,4,5,1.4,2051.89
106,0.005,32,3,3,256,96,0.02953772060573101,0.1284874677658081,4,3,5.5,699.53
107,0.005,32,3,3,256,336,0.03071286529302597,0.1310681700706482,4,7,5.5,2618.26
108,0.005,32,3,3,512,96,0.03634106367826462,0.14740025997161865,4,4,22.1,1229.64
109,0.005,32,3,3,512,336,0.02996133267879486,0.12903232872486115,4,11,22.1,3925.68
110,0.005,32,6,6,32,96,0.026690369471907616,0.1169859990477562,7,10,0.2,378.23
111,0.005,32,6,6,32,336,0.02379915490746498,0.11531473696231842,8,13,0.2,1837.93
112,0.005,32,6,6,64,96,0.03588566184043884,0.14550837874412537,4,5,0.7,613.35
113,0.005,32,6,6,64,336,0.0398588627576828,0.14998844265937805,4,8,0.7,3527.53
114,0.005,32,6,6,128,96,0.033731959760189056,0.1370711326599121,4,5,2.8,807.94
115,0.005,32,6,6,128,336,0.031011097133159637,0.13005660474300385,4,9,2.8,4000.52
116,0.005,32,6,6,256,96,0.03532132878899574,0.14080855250358582,4,5,11.1,1238.59
117,0.005,32,6,6,256,336,0.030293023213744164,0.13190463185310364,4,13,11.1,5117.27
118,0.005,32,6,6,512,96,0.03649052977561951,0.14186857640743256,4,7,44.2,2281.85
119,0.005,32,6,6,512,336,0.03008529171347618,0.13060110807418823,4,21,44.2,7623.16
