,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,optim,lradj,dropout,weight_decay,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,64,2,1,256,96,192,adamW,TST,0.05,0.01,0.09561815112829208,0.21311654150485992,15,10,2.15,424.33
1,0.0001,64,2,1,256,96,192,adamW,TST,0.2,0.1,0.09360631555318832,0.21100710332393646,12,8,2.15,424.33
2,0.0001,64,2,1,256,96,192,adamW,type1,0.05,0.01,0.11126699298620224,0.2348603457212448,15,10,2.15,424.33
3,0.0001,64,2,1,256,96,192,adamW,type1,0.2,0.1,0.11729994416236877,0.24087703227996826,15,10,2.15,424.33
4,0.0001,64,2,1,512,96,192,adamW,TST,0.05,0.01,0.10162512212991714,0.22316810488700867,9,13,8.49,861.3
5,0.0001,64,2,1,512,96,192,adamW,TST,0.2,0.1,0.0996217429637909,0.22055412828922272,10,15,8.49,861.3
6,0.0001,64,2,1,512,96,192,adamW,type1,0.05,0.01,0.10730673372745514,0.22933700680732727,9,13,8.49,861.3
7,0.0001,64,2,1,512,96,192,adamW,type1,0.2,0.1,0.10819993168115616,0.2293262779712677,15,23,8.49,861.3
8,0.0001,64,2,1,1024,96,192,adamW,TST,0.05,0.01,0.09589239954948425,0.21703612804412842,7,29,33.77,1916.37
9,0.0001,64,2,1,1024,96,192,adamW,TST,0.2,0.1,0.09723195433616638,0.2162752002477646,9,37,33.77,1916.37
10,0.0001,64,2,1,1024,96,192,adamW,type1,0.05,0.01,0.09877251833677292,0.2197655290365219,8,33,33.77,1916.37
11,0.0001,64,2,1,1024,96,192,adamW,type1,0.2,0.1,0.09577243775129318,0.2162962704896927,8,31,33.77,1916.37
12,0.0005,64,2,1,256,96,192,adamW,TST,0.05,0.01,0.09461398422718048,0.21341559290885925,8,5,2.15,424.33
13,0.0005,64,2,1,256,96,192,adamW,TST,0.2,0.1,0.09432312846183777,0.21342934668064117,8,5,2.15,424.33
14,0.0005,64,2,1,256,96,192,adamW,type1,0.05,0.01,0.09497714042663574,0.2153334617614746,8,5,2.15,424.33
15,0.0005,64,2,1,256,96,192,adamW,type1,0.2,0.1,0.09334173053503036,0.21058860421180725,15,10,2.15,424.33
16,0.0005,64,2,1,512,96,192,adamW,TST,0.05,0.01,0.09753597527742386,0.21567407250404358,8,12,8.49,861.3
17,0.0005,64,2,1,512,96,192,adamW,TST,0.2,0.1,0.09482746571302414,0.2139863818883896,7,10,8.49,861.3
18,0.0005,64,2,1,512,96,192,adamW,type1,0.05,0.01,0.09789543598890305,0.21707960963249207,8,12,8.49,861.3
19,0.0005,64,2,1,512,96,192,adamW,type1,0.2,0.1,0.09583355486392975,0.21420371532440186,8,12,8.49,861.3
20,0.0005,64,2,1,1024,96,192,adamW,TST,0.05,0.01,0.08971937745809555,0.20530831813812256,9,38,33.77,1916.37
21,0.0005,64,2,1,1024,96,192,adamW,TST,0.2,0.1,0.09096512943506241,0.20602932572364807,10,42,33.77,1916.37
22,0.0005,64,2,1,1024,96,192,adamW,type1,0.05,0.01,0.10166991502046585,0.2194763720035553,8,33,33.77,1916.37
23,0.0005,64,2,1,1024,96,192,adamW,type1,0.2,0.1,0.10065626353025436,0.21866926550865173,8,32,33.77,1916.37
