,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,5e-05,32,2,1,512,96,24,0.03541960567235947,0.1303911805152893,9,2,4.22,242.06
1,5e-05,32,2,1,512,96,336,0.11062891036272049,0.2431715726852417,7,3,4.38,244.96
2,0.0001,32,1,1,512,96,24,0.033499278128147125,0.1268233358860016,10,2,2.12,173.19
3,0.0001,32,1,1,512,96,336,0.09857236593961716,0.2298378199338913,8,3,2.28,176.09
4,0.0001,32,2,1,256,96,24,0.036772094666957855,0.13504892587661743,12,3,1.06,113.53
5,0.0001,32,2,1,256,96,336,0.10256423056125641,0.23224025964736938,10,4,1.14,115.21
6,0.0001,32,2,1,512,96,24,0.03421303629875183,0.12723219394683838,9,3,4.22,242.06
7,0.0001,32,2,1,512,96,336,0.10330511629581451,0.23483560979366302,6,2,4.38,244.96
8,0.0001,32,2,1,512,336,24,0.03539810702204704,0.13024066388607025,9,7,4.22,545.98
9,0.0001,32,2,1,512,336,336,0.10327690839767456,0.23022699356079102,5,4,4.38,548.88
10,0.0001,32,2,1,1024,96,24,0.035120751708745956,0.12956880033016205,6,3,16.83,620.68
11,0.0001,32,2,1,1024,96,336,0.09341266751289368,0.22201362252235413,6,3,17.15,627.14
12,0.0001,32,4,1,512,96,24,0.038369614630937576,0.1334703266620636,15,7,8.42,396.06
13,0.0001,32,4,1,512,96,336,0.09986834228038788,0.23111875355243683,6,3,8.58,398.96
14,0.0005,32,2,1,512,96,24,0.03410104289650917,0.12901043891906738,7,2,4.22,242.06
15,0.0005,32,2,1,512,96,336,0.09996114671230316,0.22793860733509064,8,3,4.38,244.96
16,0.001,32,2,1,512,96,24,0.03518843650817871,0.13063928484916687,7,2,4.22,242.06
17,0.001,32,2,1,512,96,336,0.09654348343610764,0.22620142996311188,6,2,4.38,244.96
