,learning_rate,batch_size,e_layers,d_layers,d_model,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,1e-05,32,2,1,32,0.15462592244148254,0.31343311071395874,16,11,0.0,204
1,1e-05,32,2,1,128,0.060698218643665314,0.18663179874420166,14,7,0.7,311
2,1e-05,32,2,1,512,0.03573044762015343,0.1389787644147873,13,7,10.5,693
3,1e-05,32,4,3,128,0.052608612924814224,0.17295406758785248,9,8,1.6,531
4,1e-05,64,2,1,32,0.200784370303154,0.36050572991371155,16,5,0.0,261
5,1e-05,64,2,1,128,0.08357275277376175,0.22278574109077454,18,5,0.7,362
6,1e-05,64,2,1,512,0.041706737130880356,0.15118132531642914,12,5,10.5,1092
7,1e-05,64,4,3,128,0.07281242311000824,0.20967015624046326,14,7,1.6,782
8,1e-05,128,2,1,32,0.3200434148311615,0.46169915795326233,16,3,0.0,377
9,1e-05,128,2,1,128,0.13164889812469482,0.2881464660167694,18,3,0.7,790
10,1e-05,128,2,1,512,0.05159105360507965,0.16915111243724823,13,5,10.5,1996
11,1e-05,128,4,3,128,0.11794747412204742,0.2723429203033447,19,6,1.6,1617
12,0.0001,32,2,1,32,0.051180001348257065,0.17280010879039764,9,4,0.0,204
13,0.0001,32,2,1,128,0.031415242701768875,0.13026703894138336,10,4,0.7,311
14,0.0001,32,2,1,512,0.029177024960517883,0.1221252903342247,6,3,10.5,693
15,0.0001,32,4,3,128,0.0309488233178854,0.12608925998210907,12,10,1.6,531
16,0.0001,64,2,1,32,0.06056446209549904,0.18921461701393127,16,5,0.0,261
17,0.0001,64,2,1,128,0.03664741292595863,0.1420740783214569,10,3,0.7,362
18,0.0001,64,2,1,512,0.028419841080904007,0.12186294049024582,13,6,10.5,1092
19,0.0001,64,4,3,128,0.03338253125548363,0.1334197074174881,9,4,1.6,782
20,0.0001,128,2,1,32,0.08133623749017715,0.2202969342470169,18,3,0.0,377
21,0.0001,128,2,1,128,0.04381492733955383,0.1558694690465927,12,2,0.7,790
22,0.0001,128,2,1,512,0.02951023168861866,0.12483320385217667,11,4,10.5,1996
23,0.0001,128,4,3,128,0.040731362998485565,0.14847950637340546,9,3,1.6,1617
24,0.0005,32,2,1,32,0.03661162778735161,0.14183619618415833,7,3,0.0,204
25,0.0005,32,2,1,128,0.028156040236353874,0.11944416910409927,11,5,0.7,311
26,0.0005,32,2,1,512,0.027422165498137474,0.12054114788770676,6,3,10.5,693
27,0.0005,32,4,3,128,0.027795501053333282,0.1197553277015686,12,10,1.6,531
28,0.0005,64,2,1,32,0.03988964483141899,0.14894190430641174,16,5,0.0,261
29,0.0005,64,2,1,128,0.02853359282016754,0.12115877121686935,7,2,0.7,362
30,0.0005,64,2,1,512,0.028076661750674248,0.12060920149087906,12,5,10.5,1092
31,0.0005,64,4,3,128,0.028558975085616112,0.11942469328641891,12,6,1.6,782
32,0.0005,128,2,1,32,0.04568720981478691,0.16196192800998688,9,1,0.0,377
33,0.0005,128,2,1,128,0.02979019097983837,0.1263832300901413,10,2,0.7,790
34,0.0005,128,2,1,512,0.029843322932720184,0.1266031712293625,12,5,10.5,1996
35,0.0005,128,4,3,128,0.03072362020611763,0.12523218989372253,13,4,1.6,1617
36,0.001,32,2,1,32,0.03361033275723457,0.13361486792564392,9,4,0.0,204
37,0.001,32,2,1,128,0.02910047024488449,0.12364691495895386,8,3,0.7,311
38,0.001,32,2,1,512,0.037576623260974884,0.1434701383113861,4,2,10.5,695
39,0.001,32,4,3,128,0.027398651465773582,0.11869078129529953,8,7,1.6,531
40,0.001,64,2,1,32,0.03710464388132095,0.14334863424301147,6,1,0.0,261
41,0.001,64,2,1,128,0.028038930147886276,0.11985060572624207,9,2,0.7,362
42,0.001,64,2,1,512,0.03925377130508423,0.14433078467845917,4,1,10.5,1092
43,0.001,64,4,3,128,0.02663864754140377,0.11521546542644501,16,8,1.6,782
44,0.001,128,2,1,32,0.03778882324695587,0.1442398577928543,9,1,0.0,377
45,0.001,128,2,1,128,0.02855719067156315,0.1220192238688469,12,2,0.7,790
46,0.001,128,2,1,512,0.04689977690577507,0.16130588948726654,4,1,10.5,1996
47,0.001,128,4,3,128,0.028446627780795097,0.12011315673589706,11,3,1.6,1617
