,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,5e-05,32,4,1,256,336,24,0.09103943407535553,0.235394686460495,8,2,0.4,109.85
1,5e-05,32,4,1,256,336,336,0.2271910458803177,0.3842867910861969,9,3,0.51,111.91
2,0.0001,32,2,1,256,336,24,0.07205886393785477,0.20663192868232727,7,1,0.14,54.84
3,0.0001,32,2,1,256,336,336,0.21980753540992737,0.3861895799636841,5,1,0.24,56.9
4,0.0001,32,4,1,128,336,24,0.049553774297237396,0.1651162952184677,8,2,0.4,69.21
5,0.0001,32,4,1,128,336,336,0.1835089772939682,0.3410491347312927,5,1,0.5,71.27
6,0.0001,32,4,1,256,96,24,0.06029759719967842,0.1859540194272995,8,1,0.06,42.4
7,0.0001,32,4,1,256,96,336,0.23314215242862701,0.3895762264728546,7,2,0.09,43.32
8,0.0001,32,4,1,256,336,24,0.06296902894973755,0.19186481833457947,8,2,0.4,109.85
9,0.0001,32,4,1,256,336,336,0.1962699294090271,0.35005098581314087,9,3,0.51,111.91
10,0.0001,32,4,1,512,336,24,0.04389039799571037,0.15502837300300598,10,3,0.42,198.39
11,0.0001,32,4,1,512,336,336,0.1694953739643097,0.316385954618454,12,4,0.52,200.45
12,0.0001,32,6,1,256,336,24,0.05277862399816513,0.17071980237960815,6,2,0.67,164.86
13,0.0001,32,6,1,256,336,336,0.1471588909626007,0.2984554171562195,10,4,0.77,166.92
14,0.0005,32,4,1,256,336,24,0.03873143717646599,0.14709804952144623,12,4,0.4,109.85
15,0.0005,32,4,1,256,336,336,0.16539296507835388,0.3065641224384308,6,2,0.51,111.91
16,0.001,32,4,1,256,336,24,0.03849836066365242,0.1459890753030777,8,2,0.4,109.85
17,0.001,32,4,1,256,336,336,0.1407753825187683,0.2815873324871063,7,2,0.51,111.91
