,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,32,3,1,32,96,336,0.17569467425346375,0.309218168258667,16,8,0.03,147.22
1,0.0001,32,3,1,32,336,336,0.15962877869606018,0.29509392380714417,18,9,0.04,148.04
2,0.0001,32,3,1,64,96,336,0.15057404339313507,0.27721044421195984,18,9,0.1,149.76
3,0.0001,32,3,1,64,336,336,0.12559016048908234,0.26016196608543396,12,6,0.12,150.67
4,0.0001,32,3,1,128,96,336,0.11602835357189178,0.24099290370941162,17,8,0.35,155.45
5,0.0001,32,3,1,128,336,336,0.09185668081045151,0.21813131868839264,14,7,0.39,156.53
6,0.0001,32,3,1,256,96,336,0.09562044590711594,0.21788497269153595,19,9,1.3,171.93
7,0.0001,32,3,1,256,336,336,0.07918007671833038,0.20089922845363617,9,4,1.36,173.36
8,0.0001,32,3,1,512,96,336,0.08301720023155212,0.2042149156332016,11,5,4.96,225.14
9,0.0001,32,3,1,512,336,336,0.07086683064699173,0.19252704083919525,11,5,5.08,227.27
10,0.0001,32,6,1,32,96,336,0.17067565023899078,0.30443790555000305,21,14,0.05,149.08
11,0.0001,32,6,1,32,336,336,0.16240979731082916,0.2979672849178314,24,17,0.06,149.91
12,0.0001,32,6,1,64,96,336,0.13674871623516083,0.2677145302295685,29,20,0.18,153.85
13,0.0001,32,6,1,64,336,336,0.10659871995449066,0.2417251318693161,17,12,0.19,154.75
14,0.0001,32,6,1,128,96,336,0.10118146240711212,0.22903680801391602,15,10,0.65,164.58
15,0.0001,32,6,1,128,336,336,0.0867915228009224,0.21276980638504028,11,8,0.68,165.66
16,0.0001,32,6,1,256,96,336,0.08447355777025223,0.20697341859340668,12,8,2.49,196.27
17,0.0001,32,6,1,256,336,336,0.07763224095106125,0.20177914202213287,12,8,2.55,197.7
18,0.0001,32,6,1,512,96,336,0.07512477785348892,0.19690446555614471,13,9,9.69,300.14
19,0.0001,32,6,1,512,336,336,0.07337620109319687,0.1969827115535736,9,6,9.81,302.28
20,0.0001,32,12,1,32,96,336,0.16541863977909088,0.29998546838760376,17,18,0.09,152.81
21,0.0001,32,12,1,32,336,336,0.15486806631088257,0.2931295335292816,21,23,0.1,153.63
22,0.0001,32,12,1,64,96,336,0.12659823894500732,0.259184867143631,16,17,0.33,162.01
23,0.0001,32,12,1,64,336,336,0.10426934063434601,0.23812583088874817,11,12,0.35,162.92
24,0.0001,32,12,1,128,96,336,0.09615916013717651,0.22281862795352936,9,9,1.25,182.85
25,0.0001,32,12,1,128,336,336,0.08244896680116653,0.20786744356155396,13,14,1.28,183.93
26,0.0001,32,12,1,256,96,336,0.08028995245695114,0.20235730707645416,13,14,4.86,244.95
27,0.0001,32,12,1,256,336,336,0.0789642408490181,0.20276851952075958,6,6,4.92,246.39
28,0.0001,32,12,1,512,96,336,0.07672059535980225,0.19784316420555115,9,10,19.16,455.43
29,0.0001,32,12,1,512,336,336,0.07379505038261414,0.19691061973571777,6,6,19.28,458.68
30,0.0005,32,3,1,32,96,336,0.12310829758644104,0.25062310695648193,16,7,0.03,147.22
31,0.0005,32,3,1,32,336,336,0.09608469903469086,0.22665522992610931,10,5,0.04,148.04
32,0.0005,32,3,1,64,96,336,0.10503876954317093,0.22853828966617584,12,5,0.1,149.76
33,0.0005,32,3,1,64,336,336,0.08301904052495956,0.20770688354969025,10,5,0.12,150.67
