,learning_rate,batch_size,e_layers,d_layers,d_model,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,1e-05,32,2,1,128,0.08222665637731552,0.21523931622505188,11,6,0.7,278
1,1e-05,32,2,1,512,0.05799584835767746,0.17660757899284363,12,8,10.5,815
2,1e-05,32,3,2,128,0.07193218916654587,0.1983029544353485,13,10,1.1,464
3,1e-05,64,2,1,128,0.10440224409103394,0.24828732013702393,15,5,0.7,641
4,1e-05,64,2,1,512,0.065294548869133,0.187562495470047,19,11,10.5,1496
5,1e-05,64,3,2,128,0.08791867643594742,0.22604668140411377,19,9,1.1,997
6,1e-05,128,2,1,128,0.15433046221733093,0.3125742971897125,19,4,0.7,1116
7,1e-05,128,2,1,512,0.07147352397441864,0.19792550802230835,13,7,10.5,2758
8,1e-05,128,3,2,128,0.13544802367687225,0.2910913825035095,19,7,1.1,1827
9,0.0001,32,2,1,128,0.05695623904466629,0.17557157576084137,6,3,0.7,278
10,0.0001,32,2,1,512,0.056266650557518005,0.17624159157276154,5,3,10.5,815
11,0.0001,32,3,2,128,0.05452471598982811,0.16924387216567993,8,6,1.1,464
12,0.0001,64,2,1,128,0.05912534520030022,0.17831984162330627,11,3,0.7,641
13,0.0001,64,2,1,512,0.04920566827058792,0.16225653886795044,8,4,10.5,1496
14,0.0001,64,3,2,128,0.055278707295656204,0.17074453830718994,9,4,1.1,997
15,0.0001,128,2,1,128,0.06705592572689056,0.1897379755973816,11,2,0.7,1116
16,0.0001,128,2,1,512,0.052180707454681396,0.16832242906093597,10,5,10.5,2758
17,0.0001,128,3,2,128,0.06104428693652153,0.18058662116527557,13,4,1.1,1827
18,0.001,32,2,1,128,0.05017164349555969,0.16484247148036957,5,3,0.7,278
19,0.001,32,2,1,512,0.06053432449698448,0.1809530407190323,4,2,10.5,815
20,0.001,32,3,2,128,0.05544416606426239,0.1711825579404831,5,4,1.1,464
21,0.001,64,2,1,128,0.05465465411543846,0.16940078139305115,6,2,0.7,641
22,0.001,64,2,1,512,0.05955132469534874,0.17835484445095062,4,2,10.5,1496
23,0.001,64,3,2,128,0.05320746824145317,0.16970372200012207,5,2,1.1,997
24,0.001,128,2,1,128,0.05526621267199516,0.17043590545654297,7,1,0.7,1116
25,0.001,128,2,1,512,0.07275893539190292,0.20091234147548676,4,2,10.5,2758
26,0.001,128,3,2,128,0.055740367621183395,0.17162081599235535,8,3,1.1,1827
